sample	region
CW_002_lib666283	Kenya
CW_003_lib666284	Kenya
CW_004_lib666285	Kenya
CW_006_lib666287	Kenya
CW_024_lib666305	Kenya
CW_030_lib666311	Kenya
CW_034_lib666315	Kenya
CW_042_lib666323	Kenya
CW_045_lib666326	Kenya
CW_046_lib666327	Kenya
Pf003_HCMHWCCXY_L2	Kenya
Pf004_HFKVJCCXY_L6	Kenya
Pf005_HFKVJCCXY_L6	Kenya
Pf006_HCMHWCCXY_L2	Kenya
Pf007_HFKVJCCXY_L6	Kenya
Pf011_HCMHWCCXY_L2	Kenya
Pf012_HKCCLCCXY_L3	Kenya
Pf013_HK7MKCCXY_L3	Kenya
Pf015_HK7LVCCXY_L3	Kenya
Pf017_HKCCLCCXY_L3	Kenya
Pf018_HK7MKCCXY_L3	Kenya
Pf019_HK7MKCCXY_L3	Kenya
Pf020_HK7MKCCXY_L3	Kenya
Pf021_HKCCLCCXY_L3	Kenya
Pf023_HK7MKCCXY_L3	Kenya
Pf024_HKCCLCCXY_L3	Kenya
Pf025_HKCCLCCXY_L3	Kenya
Pf026_HK7MKCCXY_L3	Kenya
Pf028_HKCCLCCXY_L3	Kenya
Pf029_HKCCLCCXY_L3	Kenya
QS0056-C	Ethiopia
QS0087-C	Ethiopia
QS0104-C	Ethiopia
QS0109-C	Ethiopia
QS0110-C	Ethiopia
QS0127-C	Ethiopia
QS0129-C	Ethiopia
QS0132-C	Ethiopia
QS0135-C	Ethiopia
QS0144-C	Ethiopia
QS0154-C	Ethiopia
QS0159-C	Ethiopia
QS0162-C	Ethiopia
QS0163-C	Ethiopia
QS0169-C	Ethiopia
QS0170-C	Ethiopia
SPT00898	Sudan
SPT00901	Sudan
SPT38368	Sudan
SPT38388	Sudan
SPT38540	Sudan
SPT46076	Tanzania
SPT46094	Tanzania
SPT46112	Tanzania
SPT46113	Tanzania
SPT46135	Tanzania
SPT46152	Tanzania
SPT46162	Tanzania
SPT46163	Tanzania
SPT46226	Tanzania
SPT46235	Tanzania
SPT46238	Tanzania
SPT46265	Tanzania
SPT46267	Tanzania
SPT46283	Tanzania
SPT46300	Tanzania
SPT46307	Tanzania
SPT46319	Tanzania
SPT46323	Tanzania
SPT46324	Tanzania
SPT46335	Tanzania
SPT46350	Tanzania
SPT46352	Tanzania
SPT46421	Tanzania
SPT46457	Tanzania
SPT46474	Tanzania
SPT46477	Tanzania
SPT46482	Tanzania
SPT46503	Tanzania
SPT46521	Tanzania
SPT46555	Tanzania
SPT53928	Kenya
SPT53932	Kenya
SPT53933	Kenya
SPT53936	Kenya
SPT53951	Kenya
SPT53952	Kenya
SPT53960	Kenya
SPT66893	Kenya
SPT66895	Kenya
SPT66898	Kenya
SPT66903	Kenya
SPT66920	Kenya
SPT66928	Kenya
SPT66939	Kenya
SPT66966	Kenya
SPT66986	Kenya
SPT66987	Kenya
SPT67008	Kenya
SPT67010	Kenya
SPT67011	Kenya
SPT67012	Kenya
SPT67023	Kenya
SPT67058	Kenya
SPT67068	Kenya
SPT67073	Kenya
SPT67093	Kenya
SPT67104	Kenya
SPT67128	Kenya
SPT67134	Kenya
SPT67164	Kenya
SPT67170	Kenya
SPT67182	Kenya
SPT72025	DRC
SPT72087	DRC
SPT72089	DRC
SPT72125	DRC
SPT72191	DRC
SPT72247	DRC
SPT72252	DRC
SPT72259	DRC
SPT72271	DRC
SPT72285	DRC
SPT72286	DRC
SPT72309	DRC
SPT72311	DRC
SPT72328	DRC
SPT72337	DRC
SPT72340	DRC
SPT72361	DRC
SPT72367	DRC
SPT72373	DRC
SPT72389	DRC
SPT72408	DRC
SPT72418	DRC
SPT72421	DRC
SPT72427	DRC
SPT87699	DRC
SPT87702	DRC
SPT87729	DRC
SPT87737	DRC
SPT87745	DRC
SPT87977	DRC
SPT87979	DRC
SPT87986	DRC
SPT87995	DRC
SPT88010	DRC
SPT88018	DRC
SPT88048	DRC
SPT88145	DRC
SPT88148	DRC
SPT88181	DRC
SPT88273	DRC
SPT88310	DRC
SPT88323	DRC
SPT88327	DRC
SPT88348	DRC
SPT88393	DRC
SPT88398	DRC
SPT88452	DRC
SPT88454	DRC
SPT88514	DRC
SPT88563	DRC
SPT88578	DRC
SPT88693	DRC
SPT88715	DRC
SPT88722	DRC
SPT88723	DRC
SPT88727	DRC
SPT88750	DRC
SPT88755	DRC
SPT88760	DRC
T0907AD0	Tanzania
T0909BD0	Tanzania
T0911AD0	Tanzania
T0913AD0	Tanzania
T0918BD0	Tanzania
T0919AD0	Tanzania
T0919BD0	Tanzania
T0922AD0	Tanzania
T0922BD0	Tanzania
T0923AD0	Tanzania
T0925BD0	Tanzania
T0926AD0	Tanzania
T0926BD0	Tanzania
T0928AD0	Tanzania
T0930AD0	Tanzania
T0932AD0	Tanzania
T0937BD0	Tanzania
T0938AD0	Tanzania
T0943BD0	Tanzania
T0944AD0	Tanzania
T0945AD0	Tanzania
T0946BD0	Tanzania
T0949BD0	Tanzania
T0955BD0	Tanzania
T0956BD0	Tanzania
T0961AD0	Tanzania
T0962AD0	Tanzania
T0967BD0	Tanzania
T0968BD0	Tanzania
T0973AD0	Tanzania
T0980AD0	Tanzania
T0983BD0	Tanzania
T0987AD0	Tanzania
